ds,Forecast
2019-07-11,26165.80320875554
2019-07-12,26215.64232028172
2019-07-13,26239.110310928732
2019-07-14,26263.56848100153
2019-07-15,26286.28849976918
2019-07-16,26327.72270091081
2019-07-17,26359.91547908858
2019-07-18,26370.320679309483
2019-07-19,26404.53234001395
2019-07-20,26411.587326933837
2019-07-21,26419.40714323073
2019-07-22,26425.80359198723
2019-07-23,26451.73483005849
2019-07-24,26469.70377891257
2019-07-25,26467.56411534626
2019-07-26,26491.24148558972
2019-07-27,26490.028706547953
2019-07-28,26492.022404924865
2019-07-29,26495.12587027677
2019-07-30,26520.3046937815
2019-07-31,26539.98712392424
2019-08-01,26541.874262240803
2019-08-02,26571.667581272453
2019-08-03,26578.372310924642
2019-08-04,26589.743877165012
2019-08-05,26603.301861302356
2019-08-06,26639.597712170762
2019-08-07,26670.627781411287
2019-08-08,26683.656433061413
2019-08-09,26723.956337532647
2019-08-10,26740.124134626487
2019-08-11,26759.538308726576
2019-08-12,26779.383281732902
2019-08-13,26819.926444859717
2019-08-14,26852.937952448767
2019-08-15,26865.519376262924
2019-08-16,26902.847451835652
2019-08-17,26913.491194410562
2019-08-18,26924.869227817922
2019-08-19,26934.271542709168
2019-08-20,26962.13175925017
2019-08-21,26980.44140487026
2019-08-22,26976.57099640568
2019-08-23,26996.005169834036
2019-08-24,26987.650264845674
2019-08-25,26979.281511411144
2019-08-26,26968.554351132963
2019-08-27,26976.266287765997
2019-08-28,26974.76109007175
2019-08-29,26951.740432916245
2019-08-30,26952.990491683788
2019-08-31,26927.68213659753
2019-09-01,26903.812074156755
2019-09-02,26879.209623748593
2019-09-03,26874.795630243065
2019-09-04,26862.98539077454
2019-09-05,26831.500684331524
2019-09-06,26826.098370276562
2019-09-07,26795.87410399257
2019-09-08,26768.708372747922
2019-09-09,26742.27935507181
2019-09-10,26737.328885276664
2019-09-11,26726.073155031267
2019-09-12,26696.02297515401
2019-09-13,26692.72078768485
2019-09-14,26665.05269848582
2019-09-15,26640.702462379886
2019-09-16,26617.171668301842
2019-09-17,26615.05217343787
2019-09-18,26606.44221581189
2019-09-19,26578.77086235348
2019-09-20,26577.537857539734
2019-09-21,26551.62706265836
2019-09-22,26528.760384365396
2019-09-23,26506.516454211596
2019-09-24,26505.600168993966
2019-09-25,26498.254626652844
2019-09-26,26472.080260707517
2019-09-27,26472.768420048214
2019-09-28,26449.407795593343
2019-09-29,26429.93082674904
2019-09-30,26412.124598818235
2019-10-01,26416.892597842812
2019-10-02,26416.659113159923
2019-10-03,26399.181337008868
2019-10-04,26410.27663731365
2019-10-05,26399.123610165385
2019-10-06,26393.70421923829
2019-10-07,26391.81167139026
2019-10-08,26414.310492587356
2019-10-09,26425.50437620464
2019-10-10,26421.05822443094
2019-10-11,26446.619098467818
2019-10-12,26451.157328558744
2019-10-13,26462.413607712722
2019-10-14,26477.91283242038
2019-10-15,26518.23096400774
2019-10-16,26555.406538724972
2019-10-17,26576.761649777167
2019-10-18,26627.639594790275
2019-10-19,26656.71746534079
2019-10-20,26691.460619345657
2019-10-21,26729.143294496203
2019-10-22,26790.12142383622
2019-10-23,26846.24909601637
2019-10-24,26884.703330888435
2019-10-25,26950.724249336265
2019-10-26,26992.92884111315
2019-10-27,27038.765242753467
2019-10-28,27085.531800166453
2019-10-29,27153.64703814341
2019-10-30,27215.062083270946
2019-10-31,27257.080354426616
2019-11-01,27325.091778283127
2019-11-02,27367.879941405805
2019-11-03,27413.069321458766
2019-11-04,27458.137117743838
2019-11-05,27523.676056117765
2019-11-06,27581.79996652173
2019-11-07,27619.957189681852
2019-11-08,27683.659295372785
2019-11-09,27721.78372382404
2019-11-10,27762.017660993395
2019-11-11,27801.867798483447
2019-11-12,27861.9224413488
2019-11-13,27914.257804479123
2019-11-14,27946.253548856515
2019-11-15,28003.32498665292
2019-11-16,28034.230466240675
2019-11-17,28066.521102842293
2019-11-18,28097.55732017556
2019-11-19,28147.77844588027
2019-11-20,28189.116952500037
2019-11-21,28208.822125533356
2019-11-22,28252.20030521466
2019-11-23,28267.929927141853
2019-11-24,28283.518246999993
2019-11-25,28296.323948826477
2019-11-26,28326.831637053958
2019-11-27,28347.069593108892
2019-11-28,28344.43540599578
2019-11-29,28364.436496618022
2019-11-30,28356.00368420384
2019-12-01,28346.944656996504
2019-12-02,28334.961579161612
2019-12-03,28340.91892248901
2019-12-04,28337.253046393784
2019-12-05,28311.788329611096
2019-12-06,28310.214851482866
2019-12-07,28282.147363416716
2019-12-08,28255.810102935116
2019-12-09,28229.29464260421
2019-12-10,28223.81590250355
2019-12-11,28212.11046782918
2019-12-12,28182.24236446527
2019-12-13,28180.323885317415
2019-12-14,28155.810201991426
2019-12-15,28136.93520620682
2019-12-16,28121.713373738945
2019-12-17,28131.194261828256
2019-12-18,28137.8616311494
2019-12-19,28129.442393554848
2019-12-20,28151.632960608553
2019-12-21,28153.401642705307
2019-12-22,28162.434392409952
2019-12-23,28176.148471080043
2019-12-24,28214.960377820073
2019-12-25,28250.699708393026
2019-12-26,28270.433778397593
2019-12-27,28319.2101849095
2019-12-28,28345.375532256
2019-12-29,28376.037179591658
2019-12-30,28408.092153454552
2019-12-31,28461.509140693528
2020-01-01,28507.754829893434
2020-01-02,28533.629071724685
2020-01-03,28584.01571473901
2020-01-04,28607.207080276108
2020-01-05,28630.368735846914
2020-01-06,28650.568581927902
